,PC1,PC2,PC3,Group
UNinfectedILO.13,-14.842375111336372,-3.1913988699854077,-5.898859138986015,UNINFECTED
UNinfectedILO.14,-3.7539628076905283,3.7484837296026106,-2.897696073379187,UNINFECTED
UNinfectedILO.15,-3.8007933849026143,3.4146005342330197,-2.8353962597118394,UNINFECTED
UNinfectedILO.16,-11.668541003111782,-0.43335046180985426,-7.536125132811174,UNINFECTED
UNinfectedILO.17,-11.98363240831268,-0.2837847919875772,-7.588611177813422,UNINFECTED
UNinfectedILO.18,-13.307627056552004,-1.0459275074406609,-8.529474431416787,UNINFECTED
UNinfectedILO.19,-13.300874498688069,-1.2083117944114872,-8.043822655099712,UNINFECTED
uninfecraffspec-stemleaf,-0.15451213511504397,3.930251030496764,0.8582243534883213,UNINFRAFFSPEC
uninfecraffspec-stemleaf.1,-0.3635876821259215,3.9498059768994955,0.8799536966317382,UNINFRAFFSPEC
uninfecraffspec-stemleaf.2,-1.5163497921786795,2.9771272775866287,2.032938355307161,UNINFRAFFSPEC
uninfecraffspec-stemleaf.3,-1.6656387842568,3.3848319252109644,2.3311689197485057,UNINFRAFFSPEC
nonhostILO,-12.601054281372251,2.383359991473539,-2.987461563507276,nonhostTET
nonhostILO.1,-12.585879301763574,2.5447767783204442,-3.25260875470085,nonhostTET
nonhostILO.2,-17.92361338375653,-4.874556774836475,-9.62278379595023,nonhostTET
nonhostILO.3,-17.138238305581815,-4.431115577441833,-9.621756704818313,nonhostTET
nonhostILO.4,-18.619254393766003,-3.2972794185488086,-11.607610995916467,nonhostTET
nonhostILO.5,-18.077541455374927,-3.0566874116722307,-11.183794405488289,nonhostTET
nonhostILO.6,-10.572488530337544,2.2361807316998235,-0.6927165693991046,nonhostTET
nonhostILO.7,-10.600977558047155,2.4324666847177214,-1.267111827323412,nonhostTET
